taxonomic lineage,TR2-64-1 (30331),WC-10-1 (22682),TR1-62-2 (47709),TR2-44-2 (44496),WC-30-2 (48512),TR1-52-2 (51427),TR1-42-2 (37339),TR2-24-2 (37425),WC-50-2 (50936),WC-40-2 (41928),WC-35-2 (44988),TR1-32-2 (68201),WC-20-2 (36081),TR2-34-2 (61197),Mel1-3 (48173),Mel1M-2 (46167),Mel2S-3 (41184),Mel3S-1 (59205),Ritt1-3 (33353),Ritt3-3 (32867),Ritt3M-3 (42448)
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;NA;NA,0,0,0,0,39,0,0,0,2035,290,274,0,4,0,2615,4264,1697,202,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter;NA,0,0,0,0,1208,0,0,0,2240,467,1189,0,99,0,521,1545,1129,2897,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,189,741,0,1977,2392,0,0,0,0,5347,0,308,0,23,0,0,83,25,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;NA;NA;NA,0,0,1489,1981,0,3967,604,0,0,0,0,2313,0,121,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,812,0,0,0,673,890,469,0,23,0,3753,1256,154,73,43,84,1301
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,0,0,5324,34,0,2495,820,40,0,0,0,5,0,320,0,0,0,0,64,156,260
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Methylovirgula;NA,0,0,0,0,574,0,0,0,0,1392,111,0,5824,0,167,476,529,212,0,182,0
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,0,0,323,0,0,0,0,2510,2577,0,1412,0,0,347,945,1170,0,0,7
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,0,0,0,0,869,0,0,0,845,686,775,0,32,0,2024,2274,544,564,58,51,511
super kingdom.Bacteria;phylum.Verrucomicrobiota;class.Verrucomicrobiae;order.Chthoniobacterales;family.Chthoniobacteraceae;genus.Candidatus_Udaeobacter;NA,0,0,266,614,0,2846,2826,15,0,0,0,953,0,1171,0,0,0,0,0,10,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,443,0,0,0,45,1024,577,0,1271,0,39,967,1485,1488,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,216,0,0,0,788,972,1207,0,812,0,580,1381,522,325,0,292,98
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Thermomicrobiales;family.Thermomicrobiaceae;genus.Nitrolancea;NA,0,0,490,616,0,625,515,0,0,0,0,1882,0,2703,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,1281,0,0,0,1246,0,1233,0,0,0,339,796,0,1833,0,25,0
super kingdom.Bacteria;phylum.Chloroflexi;class.KD4-96;NA;NA;NA;NA,0,0,668,242,0,2822,1022,6,7,0,0,367,0,862,6,0,0,0,555,89,85
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,1678,0,0,0,1078,24,481,0,209,0,24,280,960,1905,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,38,0,0,0,488,55,41,0,53,0,3,373,3245,1906,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Bradyrhizobium;NA,0,0,103,433,216,0,80,66,0,0,160,101,40,648,462,408,657,463,0,164,1970
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus;NA,0,0,105,654,0,39,413,568,0,0,0,4,0,4017,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;NA;NA;NA;NA,0,0,72,582,12,1897,944,12,174,296,255,143,333,1026,4,7,34,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.FFCH5909;NA;NA;NA;NA,0,0,0,0,30,0,0,0,1072,1941,1211,0,595,0,157,293,218,233,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,1413,755,0,270,0,263,0,0,0,1284,0,1707,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.SBR1031;family.A4b;NA;NA,0,0,0,0,647,0,0,0,1065,183,340,0,94,0,123,917,780,1087,0,0,17
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,1420,0,32,550,234,0,0,0,334,0,2566,0,0,0,0,0,25,9
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter;NA,0,0,509,91,12,815,380,0,681,163,301,47,0,138,395,374,144,68,194,234,598
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;genus.Mastigocladopsis_PCC-10914;NA,0,0,0,0,25,0,0,0,101,109,2031,0,0,0,309,233,41,1551,0,0,481
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,325,0,0,0,0,11,0,0,4111,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Nitrospirota;class.Nitrospiria;order.Nitrospirales;family.Nitrospiraceae;genus.Nitrospira;NA,0,0,231,63,22,712,713,0,995,84,308,101,80,292,105,131,64,65,109,265,77
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,0,0,857,0,0,0,523,365,562,0,167,0,162,440,517,778,0,0,0
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,0,3,88,4,92,29,0,344,2128,766,55,84,112,217,11,99,211,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,3,0,0,0,139,0,3,0,0,0,2355,1520,14,27,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,0,0,725,0,0,0,180,431,243,0,151,0,621,910,413,347,0,8,18
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Methylovirgula;NA,0,0,0,0,0,0,0,0,16,1167,99,0,184,0,0,178,0,0,1168,983,182
super kingdom.Bacteria;phylum.Chloroflexi;class.SHA-26;NA;NA;NA;NA,0,0,334,266,0,239,127,0,189,283,56,579,4,11,208,36,5,9,820,289,344
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,1010,0,0,0,765,279,1415,0,92,0,22,54,6,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,34,126,0,6,32,415,0,0,0,58,0,2962,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,505,0,0,0,408,49,117,0,81,0,0,52,1796,424,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Rhodanobacter;NA,0,0,0,286,0,0,21,1761,0,0,0,0,0,1351,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Bacteroidota;class.Kryptonia;order.Kryptoniales;family.BSV26;NA;NA,0,0,19,203,0,1020,156,18,0,0,0,1219,0,772,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Chujaibacter;NA,0,0,0,663,0,5,48,1399,0,0,0,447,0,829,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,0,0,18,367,0,896,0,433,515,355,0,4,0,467,291,0,23,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;NA;NA;NA;NA,3282,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.JG30a-KF-32;NA,0,0,0,0,1513,0,0,0,260,111,173,0,1048,0,33,19,0,16,0,0,0
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Leptolyngbyales;family.Leptolyngbyaceae;genus.Leptolyngbya_PCC-6306;NA,2996,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,1432,0,0,0,1043,0,0,0,0,0,599,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Meiothermus;NA,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,0,52,182,0,22,175,0,247,30,0,0,0,5,293,992,313,177,36,16,384
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,561,0,0,0,289,46,144,0,297,0,6,147,768,589,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,0,0,28,0,0,0,17,1013,839,0,401,0,93,114,147,189,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;NA;NA;NA;NA,0,0,22,7,42,0,47,0,525,707,389,47,27,0,322,330,54,98,57,54,87
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,287,0,0,20,18,150,356,0,86,10,79,75,650,869,0,11,174
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,1627,0,0,0,0,0,114,0,1023,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Haliangiales;family.Haliangiaceae;genus.Haliangium;NA,0,0,0,0,921,0,0,0,448,163,323,0,183,0,173,181,95,259,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus;NA,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.Pyrinomonadales;family.Pyrinomonadaceae;genus.Pyrinomonas;NA,0,0,504,104,0,310,82,0,59,4,0,145,0,101,72,0,0,0,917,201,105
super kingdom.Bacteria;phylum.Bacteroidota;class.Kryptonia;order.Kryptoniales;family.BSV26;NA;NA,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Verrucomicrobiota;class.Verrucomicrobiae;order.Chthoniobacterales;family.Chthoniobacteraceae;genus.Candidatus_Udaeobacter;NA,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Burkholderiales;family.Burkholderiaceae;genus.Burkholderia-Caballeronia-Paraburkholderia;NA,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,866,1472
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,15,0,0,0,473,126,63,0,0,0,252,1019,225,39,37,112,111
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,0,0,0,336,0,0,0,597,194,249,0,538,0,3,82,296,115,0,0,4
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,7,16,24,0,5,0,21,1753,144,24,43,0,284,6,0,0,71,8,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;family.Frankiaceae;genus.Jatrophihabitans;NA,0,0,213,0,0,0,217,0,0,0,0,0,0,1968,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,83,0,52,37,1465,750,0,4,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,0,0,0,0,0,873,0,0,563,0,0,0,863,0,0,0,87
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter;NA,0,0,0,0,528,0,0,0,226,68,178,0,132,0,0,15,587,644,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,159,0,0,299,0,104,524,868,410,0,0,5
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,364,0,0,0,242,58,244,0,20,0,95,263,273,800,0,0,6
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,79,354,33,32,467,0,201,100,108,295,0,157,62,159,34,96,102,13,38
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,148,499,0,41,580,422,0,89,11,120,0,385,0,0,0,0,0,0,10
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.G12-WMSP1;NA,0,0,0,0,1152,0,0,0,89,77,147,0,720,0,19,13,7,4,0,23,19
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,0,283,367,0,100,324,39,25,0,32,760,0,169,0,14,5,0,43,22,25
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.FCPS473;NA,0,0,308,373,0,259,219,0,24,299,0,639,0,57,0,0,0,0,11,0,16
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Solibacterales;family.Solibacteraceae;genus.Candidatus_Solibacter;NA,0,0,0,0,151,0,0,0,348,245,121,0,87,0,34,219,291,652,0,0,6
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;family.Frankiaceae;genus.Jatrophihabitans;NA,0,0,0,634,0,18,0,1410,0,0,0,71,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,8,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.45597;NA;NA;NA,0,0,233,0,0,153,11,0,0,35,0,0,0,26,356,247,19,6,0,237,793
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Hyphomicrobiaceae;genus.Pedomicrobium;NA,0,0,0,0,277,0,0,0,55,8,109,0,221,0,16,74,533,750,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,643,0,0,4,451,0,0,0,0,0,879,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.FCPS473;NA,0,0,0,0,32,0,0,0,1264,245,285,0,6,0,6,33,6,39,0,16,10
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Leptolyngbyales;family.Leptolyngbyaceae;genus.Leptolyngbya_PCC-6306;NA,0,0,0,0,100,0,0,0,30,109,521,0,14,0,220,254,360,179,0,15,112
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,0,0,0,83,0,2,0,372,200,111,0,44,0,198,252,278,359,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Gaiellales;NA;NA;NA,0,0,0,0,67,0,0,0,242,323,535,0,589,0,19,53,0,0,19,15,28
super kingdom.Bacteria;phylum.Firmicutes;NA;NA;NA;NA;NA,24,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,112,129,31,22,234,49,406,62,66,47,0,168,173,232,31,71,27,7,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,7,11,277,68,15
super kingdom.Bacteria;phylum.Firmicutes;class.YNPFFP2;NA;NA;NA;NA,0,0,28,102,0,0,0,149,0,0,0,46,0,1501,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Gaiellales;NA;NA;NA,0,0,30,30,0,746,209,0,26,51,21,554,0,66,0,0,0,0,83,0,5
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella;NA,0,0,0,0,185,0,0,0,175,480,794,0,18,0,0,6,59,10,0,0,11
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,0,0,260,0,0,0,442,111,248,0,27,0,40,107,0,118,63,220,91
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera;NA,0,0,979,174,0,362,55,0,0,0,0,146,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Burkholderiales;family.Comamonadaceae;genus.Piscinibacter;NA,0,0,0,99,23,0,24,1274,0,0,0,0,0,292,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,48,0,0,0,819,104,283,0,0,0,55,146,149,72,5,12,0
super kingdom.Bacteria;phylum.Gemmatimonadota;class.Gemmatimonadetes;order.Gemmatimonadales;family.Gemmatimonadaceae;NA;NA,0,0,0,13,0,76,41,0,29,487,78,36,122,49,401,43,98,65,98,25,24
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,95,0,0,0,163,0,110,0,12,0,25,112,400,648,9,10,98
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,0,0,0,0,0,0,0,1086,162,0,0,0,0,0,284,0,42,0,0,78
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Chitinophagales;family.Chitinophagaceae;genus.Ferruginibacter;NA,0,0,0,21,0,0,0,1264,0,0,0,0,0,347,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;NA;NA,0,0,0,0,191,0,0,0,151,232,879,0,0,0,11,25,0,87,0,0,6
super kingdom.Bacteria;phylum.Armatimonadota;class.Armatimonadia;order.Armatimonadales;NA;NA;NA,0,0,0,106,0,0,171,1180,0,0,0,0,0,121,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,0,0,0,66,0,0,0,58,11,0,0,16,0,0,0,397,1014,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Pseudolabrys;species.taiwanensis,0,0,25,0,0,31,0,0,0,0,0,0,0,0,43,29,0,0,0,144,1286
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrosotaleales;family.Nitrosotaleaceae;NA;NA,0,0,7,87,0,0,0,586,0,0,0,23,0,829,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,93,0,0,0,10,363,149,0,162,0,22,97,372,259,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,0,0,302,0,0,0,104,42,177,0,28,0,28,172,293,345,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.Blastocatellales;family.Blastocatellaceae;NA;NA,0,0,763,13,0,399,16,8,0,0,0,42,0,121,0,0,0,0,0,0,112
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;genus.Fischerella_PCC-9339;NA,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,21,4,0,57,68,0,50,44,47,19,0,13,380,6,0,0,400,313,41
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Novosphingobium;NA,0,0,0,12,194,0,29,0,43,199,693,0,15,0,10,10,37,188,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,1064,0,0,0,0,0,333,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Alicyclobacillales;family.Alicyclobacillaceae;genus.Acidibacillus;NA,0,0,0,89,0,0,42,229,0,0,0,524,0,478,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Verrucomicrobiota;class.Verrucomicrobiae;order.Chthoniobacterales;family.Chthoniobacteraceae;genus.Chthoniobacter;NA,0,0,0,0,736,0,0,0,0,0,299,0,77,0,0,0,0,164,0,0,50
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,1043,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.Thermoflexales;family.Thermoflexaceae;genus.Thermoflexus;NA,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,214,9
