taxonomic lineage,TR2-64-1,WC-10-1,TR1-62-2,TR2-44-2,WC-30-2,TR1-52-2,TR1-42-2,TR2-24-2,WC-50-2,WC-40-2,WC-35-2,TR1-32-2,WC-20-2,TR2-34-2,Mel1-3,Mel1M-2,Mel2S-3,Mel3S-1,Ritt1-3,Ritt3-3,Ritt3M-3
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrocosmicus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrososphaerales;family.Nitrososphaeraceae;genus.Candidatus_Nitrososphaera,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrosotaleales;family.Nitrosotaleaceae;genus.NA,0,0,7,87,0,0,0,586,0,0,0,23,0,829,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.Nitrosotaleales;family.Nitrosotaleaceae;genus.Candidatus_Nitrosotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,57,11,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,9382,10897,20,5819,3671,730,3156,746,210,26195,0,9897,237,2,4,12,1112,5143,4151
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,1489,1981,0,3967,604,0,0,0,0,2313,0,121,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,110,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,110,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,80,0,0,97,86,0,0,0,0,289,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,275,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,0,0,0,0,0,44,14,0,0,0,0,0,0,0,0,0,0,97
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,28,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;family.NA;genus.NA,0,0,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,3
super kingdom.Archaea;phylum.NA;class.NA;order.NA;family.NA;genus.NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Thermoplasmatota;class.Thermoplasmata;order.NA;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria;order.Abditibacteriales;family.Abditibacteriaceae;genus.Abditibacterium,0,0,11,61,0,0,6,300,0,0,0,0,0,60,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria;order.Abditibacteriales;family.Abditibacteriaceae;genus.Abditibacterium,0,0,54,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria;order.Abditibacteriales;family.Abditibacteriaceae;genus.Abditibacterium,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria;order.Abditibacteriales;family.Abditibacteriaceae;genus.Abditibacterium,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,0,185,0,0,0,175,480,794,0,18,0,0,6,59,10,0,0,11
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,0,0,80,0,10,0,60,678,70,0,22,0,210,109,11,0,0,0,51
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,0,13,0,0,0,462,0,0,0,20,0,161,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,69,0,0,0,263,0,0,0,0,0,194,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,41,0,0,20,346,0,0,0,0,0,88,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,0,80,0,0,0,56,0,0,0,20,0,228,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,29,115,0,0,14,157,0,0,0,14,0,32,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,32,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,0,30,0,0,0,10,0,100,0,0,0,0,0,0,0,0,0,12
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Edaphobacter,0,0,0,0,0,0,0,57,0,0,0,0,0,13,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,10,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidobacterium,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.NA,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter,0,0,0,0,1208,0,0,0,2240,467,1189,0,99,0,521,1545,1129,2897,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,31,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Koribacteraceae;genus.Candidatus_Koribacter,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,370,0,0,0,0,8,401,0,103,0,0,0,0,331,0,0,13
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,15,0,0,358,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,51,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,74,0,8,20,58,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,83,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.NA;genus.NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,509,91,12,815,380,0,681,163,301,47,0,138,395,374,144,68,194,234,598
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,528,0,0,0,226,68,178,0,132,0,0,15,587,644,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,403,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,36,0,0,0,119,58,55,0,0,0,0,15,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,72,0,0,0,0,0,30,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,63,0,0,0,16
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,16,0,0,0,0,0,14,0,8,0,0,0,12,19,0,16,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,54,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,53,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,30,0,0,0,0,0,0,0,8,0,2,0,0,27,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,40
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,32
